,gene,SRR17281235,SRR17281234,SRR17281233,SRR17281236
0,AT1G23960,32.61815098916129,39.53834409574871,33.624977579228755,41.073279251295936
1,AT1G23965,1.103837057573686,0.0,0.7501584483201734,0.0
2,AT1G23970,10.723030543048743,7.161811350412243,7.835787128796984,3.518505789421219
3,AT1G24020,4.00580539598426,9.757486282140759,3.7809887533095417,8.73143222034906
4,AT1G23980,7.5012483646895385,7.430537378802932,7.590036576351111,4.844571921648924
5,AT1G23985,0.5119055227597432,0.2805565647908677,0.9566884781719156,0.3719325606514156
6,AT1G23995,0.7242007897236501,0.0,0.4921608102970145,0.0
7,AT1G24030,1.7376944495286155,1.1287304684230004,0.7872817598509534,1.0521230928815122
8,AT1G24040,25.33330095869247,25.441529428329506,21.015427436548634,22.313765800492867
9,AT1G24050,54.775473332580816,49.15767296901379,47.763179719551076,50.17295511761189
10,AT1G24060,0.0,0.0,0.0,0.0
11,AT1G24062,0.0,0.0,0.0,0.0
12,AT1G24090,0.6299230141887168,0.6329356101681973,0.10702260529367807,0.9725698340524834
13,AT1G24095,2.541502771448021,1.6714848860075635,2.0726208771663006,2.031223244966005
14,AT1G24110,0.0,0.0,0.0,0.0
15,AT1G24120,33.99033462662303,27.510334525759678,32.026464435913056,26.95917926492831
16,AT1G24130,0.5720899237182864,0.5225690308522105,0.7775750714864325,0.7274057543519428
17,AT1G24145,5.346568793268428,22.269956654066206,8.841476548438633,54.25531790302465
18,AT1G24159,0.0,0.0,0.0,0.0
19,AT1G24160,52.354217638011534,47.603682056583956,46.882720423419855,52.73239717055346
20,AT1G24200,0.0,0.0,0.0,0.0
21,AT1G24210,1.320341683703484,2.1226499121494427,1.3459397769403112,1.1511766328454789
22,AT1G24220,0.0,0.0,0.0,0.03828850648711336
23,AT1G24230,0.0,0.0,0.0,0.0
24,AT1G24260,0.2511047964368435,0.061165018377290034,0.2275316308910821,0.3040731989863718
25,AT1G24240,9.975914943537433,8.662126914226008,10.528240032955322,8.52723431737392
26,AT1G24250,0.0,0.0,0.0,0.12576136942889593
27,AT1G24256,0.0,0.0,0.0,0.0
28,AT1G24265,0.5533288827786322,0.4942001499041859,0.6267294815962835,0.4020293181146903
29,AT1G24267,19.264326726525237,20.293429442134574,20.10538039222295,24.085372840104238
30,AT1G24270,0.0,0.0,0.4840660601276557,0.17250819424950525
31,AT1G24290,6.089314851725855,4.0937905044624685,6.5384311023767046,3.4509400748404966
32,AT1G24300,18.866574168215664,19.16084234876744,18.7302298028255,21.448071645868346
33,AT1G24310,16.75414750462723,12.176929346606894,13.909357839820348,12.896773207230265
34,AT1G24320,0.0,0.0,0.03123006839533263,0.03338868275796876
35,AT1G24330,3.094175626657684,2.466623578208096,2.2174727908991487,1.7576205107011165
36,AT1G24350,17.28530613771641,19.97660114522185,17.237371893829927,21.568538619155493
37,AT1G24340,9.46169570864534,10.121305163916293,9.335250284072801,9.359307431733095
38,AT1G24360,78.57863686922754,89.00318448359707,80.10207833731727,96.89562622623495
39,AT1G24380,0.0,0.0,0.0,0.0
40,AT1G24388,0.0,0.0,0.0,0.0
41,AT1G24420,0.10958301423449968,0.08007788590184682,0.3723585077905045,0.0
42,AT1G24440,8.585568975082499,10.35925041999585,10.380304559085996,17.045622955995373
43,AT1G24475,0.0,0.0,0.0,0.0
44,AT1G24480,0.2494654794094141,0.0,0.0,0.1812528492575447
45,AT1G24485,0.0,0.0,0.0,0.0
46,AT1G24510,54.93437744494804,65.45226277865011,60.622767766739855,74.64596508589881
47,AT1G24530,3.0262867699729012,3.7366078190652616,3.333173911857323,8.264431119978225
48,AT1G24560,26.159128867007627,24.37827605963353,19.952658114551195,25.267203619353342
49,AT1G24570,0.14522872979702978,0.0,0.09869623224601433,0.0
50,AT1G24575,26.363484562703213,28.573016601300296,18.117711908471488,29.48544982532173
51,AT1G24577,13.624087949111722,7.837556083073395,8.273835951418887,5.686535174296943
52,AT1G24580,1.9618213918674643,3.2256061673350938,0.9999280789046932,2.138085705398172
53,AT1G24660,0.0,0.0,0.0,0.0
